Country Name,GDP (current US$),Surface area (sq. km),"Life expectancy at birth, total (years)",Military expenditure (% of GDP),Population growth (annual %),"Unemployment, total (% of total labor force) (national estimate)","Inflation, GDP deflator (annual %)"
Argentina,545982375701.128,2780400,75.598,0.784824721019786,1.13690569378967,7.21999979019165,22.3148806733049
Australia,1546508558465.66,7741220,82.0463414634146,1.671015795455,1.74582000067359,5.21999979019165,1.78912996440673
Brazil,2465228293894.01,8515770,74.209,1.37865646470437,0.893525506727112,7.25,7.94312694206415
China,8532229986993.65,9600000.9,75.013,1.69336816326385,0.678345458846803,4.09999990463257,2.33121757577324
France,2683671716967.19,549087,81.9682926829268,1.87108059984757,0.483998961260596,9.39999961853027,1.16182503173519
Germany,3527143188785.16,357170,80.5390243902439,1.24167747904608,0.187727800567293,5.38000011444092,1.49648883779834
India,1827637859135.7,3287260,67.545,2.61816761903533,1.23148489388617,2.69000005722046,7.93438624839366
Indonesia,917869910105.749,1910930,69.866,0.711549473406383,1.35169978721169,4.46999979019165,3.75387875323653
Italy,2086957656821.6,301340,82.2390243902439,1.42692497660769,0.269541239520996,10.6499996185303,1.54730144037734
Japan,6272362996105.03,377960,83.0960975609756,0.967427278040865,-0.159710675844347,4.3600001335144,-0.75609311955516
"Korea, Rep.",1278427634342.59,100150,80.819512195122,2.49929988050229,0.525713660600414,2.80999994277954,1.2518081696316
Mexico,1201089987015.45,1964380,74.966,0.47598728077372,1.35529442643505,4.8899998664856,4.06592696849427
Netherlands,838923319919.531,41540,81.1048780487805,1.23540888805849,0.370055034770235,5.82000017166138,1.44610956661077
Russian Federation,2208295773643.15,17098250,70.0721951219512,3.68924043459907,0.168305035277726,5.44000005722046,8.90786842114997
Saudi Arabia,735974843360,2149690,74.254,7.67660296778665,3.09072464553231,5.51999998092651,4.0155153566887
Spain,1324744314781.64,505940,82.4268292682927,1.4236373034985,0.0649259625617232,24.7900009155273,-0.114557740159839
Switzerland,692109693986.886,41290,82.6975609756098,0.663502196696106,1.06181932886789,4.48000001907349,-0.00376506218286465
Turkey,880556375779.51,785350,75.373,2.00944779894555,1.63114823337747,8.14999961853027,7.42267328660553
United Kingdom,2719158341005.79,243610,80.9048780487805,2.42056473058588,0.695353132322269,7.88000011444092,1.611883545944
United States,16197007349000,9831510,78.7414634146342,4.47740121867267,0.733599941250847,8.06999969482422,1.91784900670304
Afghanistan,19907317065.6666,652860,62.054,1.17541612009987,3.40760003260595,1.69000005722046,7.30175647136595
Albania,12319830437.3467,28750,77.252,1.48708257655216,-0.165151040121679,13.3800001144409,1.04271460596459
Algeria,209058991952.125,2381740,75.436,4.46107862007699,1.95146367479529,10.9700002670288,7.45833652381816
Armenia,10619320048.5857,29740,73.82,3.58376691873744,0.26742945492201,17.2999992370605,5.34580441814725
Austria,409401816050.531,83879,80.9365853658537,0.778464250647036,0.45593747231891,4.86999988555908,2.05423568508493
Azerbaijan,69683935845.2139,86600,71.506,4.65861825196324,1.32876382733755,5.19000005722046,2.88293299905827
Bahrain,30749308510.6383,770,76.342,3.84457370207797,1.69035809880424,1.20000004768372,3.01476585183988
Belarus,65685102554.8759,207600,71.9658536585366,1.22921872178113,-0.156617600248906,0.5,75.2773691739957
Belgium,496152879924.727,30530,80.3853658536585,1.0417564900031,0.620163579337378,7.53999996185303,1.9611193413831
Bolivia,27084497482.8616,1098580,69.01,1.84559467544087,1.60004361529199,2.0699999332428,7.10027530988422
Bosnia and Herzegovina,17221192466.1918,51210,76.401,1.14557192089501,-1.54695841535682,28.0100002288818,0.795773265290208
